date,St,tick,tweet_count,btc_close
2022-06-08,0.0085574048841081,1,2651,30214.35546875
2022-06-17,-0.0420430740009685,2,2513,20471.482421875
2022-06-29,-0.0012166848649861,3,2004,20104.0234375
2022-07-11,-0.0641314643448782,4,2234,19970.556640625
2022-07-19,0.0316948720978886,5,2092,23389.43359375
2022-07-27,0.1345563973391911,6,2304,22930.548828125
2022-08-02,-0.0698053808864928,7,2422,22978.1171875
2022-08-09,0.0179993443594508,8,2354,23164.318359375
2022-08-19,0.001132193251936,9,1756,20877.552734375
2022-09-05,0.0411330283856636,10,1561,19812.37109375
2022-09-11,0.0554925066959971,11,1166,21769.255859375
2022-09-23,0.0990903913339388,12,2085,19297.638671875
2022-10-09,0.0201610847105636,13,1165,19446.42578125
2022-10-21,0.0567748108463891,14,2084,19172.46875
2022-10-28,-0.0868441838813983,15,1720,20595.3515625
2022-11-07,-0.0976684519322351,16,2008,20602.81640625
2022-11-16,0.0152317213044845,17,4694,16669.439453125
2022-11-25,-0.0176559707734973,18,2424,16521.841796875
2022-12-03,0.0062726741091907,19,1769,16908.236328125
2022-12-12,0.0281841603713312,20,2526,17206.4375
2022-12-22,0.1306379955774143,21,2243,16830.341796875
2023-01-10,0.0424900282154067,22,1941,17446.29296875
2023-01-20,0.0261345929293304,23,2088,22676.552734375
2023-01-30,0.1280759348714714,24,1899,22840.138671875
2023-02-04,0.0707157680404998,25,1529,23331.84765625
2023-02-15,0.0765425304834015,26,2485,24307.841796875
2023-02-26,-0.0433096285008397,27,1914,23561.212890625
2023-03-01,0.0622248935903508,28,2006,23646.55078125
2023-03-11,-0.0672854607930293,29,3531,20632.41015625
2023-03-21,0.14130886507721,30,3260,28175.81640625
2023-04-06,-0.1315791069253099,31,3039,28044.140625
2023-04-10,0.1332735058257338,32,2230,29652.98046875
2023-04-20,0.0098426916600992,33,3132,28245.98828125
2023-05-07,0.0649424488716598,34,2133,28454.978515625
2023-05-14,0.1190075413449318,35,1858,26930.638671875
2023-05-28,0.1577624269538915,36,2057,28085.646484375
